nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,,5364,01:29:24,00:20:38,20:38,04:08,14.53,1,00:40:47,20:09,04:02,14.89,1,01:02:08,21:21,04:17,14.05,1,01:24:40,22:31,04:31,13.32,1,5364,01:29:24,04:44,04:20,13.88
KEN,H17,3575,00:59:35,00:14:34,14:34,02:55,20.59,1,00:28:05,13:31,02:43,22.18,1,00:42:08,14:02,02:49,21.36,1,00:56:28,14:19,02:52,20.94,1,3575,00:59:35,03:06,02:51,21.14
KEN,D17,4081,01:08:01,00:15:36,15:36,03:08,19.22,1,00:31:04,15:27,03:06,19.40,1,00:47:22,16:17,03:16,18.41,1,01:04:25,17:03,03:25,17.59,1,4081,01:08:01,03:35,03:17,18.32
SWE,,7613,02:06:53,00:29:15,29:15,05:52,10.25,2,00:58:10,28:54,05:47,10.38,2,01:29:15,31:05,06:14,9.65,2,02:00:16,31:00,06:13,9.67,2,7613,02:06:53,06:36,06:02,9.95
ETH,D17,4134,01:08:54,00:15:37,15:37,03:08,19.21,2,00:31:12,15:35,03:08,19.25,2,00:47:44,16:32,03:19,18.13,2,01:05:04,17:19,03:28,17.32,2,4134,01:08:54,03:50,03:31,17.13
KEN,H17,3612,01:00:12,00:14:34,14:34,02:55,20.57,4,00:28:06,13:31,02:43,22.19,2,00:42:08,14:02,02:49,21.35,2,00:56:57,14:48,02:58,20.26,2,3612,01:00:12,03:15,02:58,20.24
KEN,D17,4172,01:09:32,00:15:37,15:37,03:08,19.20,3,00:31:26,15:49,03:10,18.97,3,00:48:08,16:41,03:21,17.97,3,01:05:51,17:43,03:33,16.93,3,4172,01:09:32,03:40,03:22,17.88
KEN,H17,3700,01:01:40,00:14:34,14:34,02:55,20.58,3,00:28:25,13:50,02:47,21.67,3,00:43:17,14:52,02:59,20.18,5,00:58:34,15:17,03:04,19.61,4,3700,01:01:40,03:06,02:50,21.23
KEN,H17,3700,01:01:40,00:14:35,14:35,02:56,20.56,6,00:28:27,13:51,02:47,21.64,5,00:43:16,14:49,02:58,20.23,4,00:58:34,15:17,03:04,19.61,3,3700,01:01:40,03:06,02:50,21.20
ETH,D17,4236,01:10:36,00:16:06,16:06,03:14,18.63,4,00:32:29,16:23,03:17,18.30,4,00:49:31,17:01,03:25,17.62,4,01:06:53,17:21,03:29,17.28,4,4236,01:10:36,03:43,03:24,17.67
ETH,D17,4335,01:12:15,00:16:37,16:37,03:20,18.04,6,00:33:39,17:02,03:25,17.61,6,00:50:56,17:16,03:28,17.37,6,01:08:23,17:27,03:30,17.18,5,4335,01:12:15,03:51,03:31,17.08
KEN,H17,3708,01:01:48,00:14:34,14:34,02:55,20.58,2,00:28:27,13:52,02:47,21.62,4,00:43:16,14:49,02:58,20.24,3,00:58:34,15:18,03:04,19.60,4,3708,01:01:48,03:13,02:57,20.45
KEN,H17,3792,01:03:12,00:14:36,14:36,02:56,20.54,8,00:28:52,14:15,02:52,21.03,7,00:43:58,15:06,03:02,19.85,6,00:59:46,15:47,03:10,19.00,6,3792,01:03:12,03:26,03:09,19.09
ETH,D17,4337,01:12:17,00:16:59,16:59,03:24,17.66,7,00:33:42,16:43,03:21,17.94,7,00:50:56,17:13,03:27,17.42,7,01:08:24,17:27,03:30,17.18,6,4337,01:12:17,03:53,03:33,16.91
ETH,D17,4374,01:12:54,00:16:16,16:16,03:16,18.44,5,00:32:57,16:40,03:21,17.99,5,00:50:26,17:29,03:30,17.15,5,01:08:48,18:21,03:41,16.34,7,4374,01:12:54,04:05,03:45,16.06
KEN,H17,3832,01:03:52,00:14:35,14:35,02:56,20.56,5,00:28:52,14:16,02:52,21.01,6,00:44:16,15:24,03:05,19.47,7,01:00:20,16:03,03:13,18.68,7,3832,01:03:52,03:32,03:14,18.61
JPN,D17,4487,01:14:47,00:17:37,17:37,03:32,17.02,10,00:34:58,17:20,03:29,17.29,10,00:52:48,17:49,03:34,16.82,8,01:11:01,18:12,03:39,16.47,8,4487,01:14:47,03:46,03:27,17.43
RSA,H17,3845,01:04:05,00:14:35,14:35,02:56,20.56,7,00:29:19,14:43,02:57,20.37,8,00:44:51,15:32,03:07,19.31,8,01:00:36,15:44,03:09,19.05,8,3845,01:04:05,03:29,03:11,18.86
JPN,H17,3852,01:04:12,00:14:53,14:53,02:59,20.14,11,00:29:39,14:46,02:58,20.31,10,00:44:51,15:11,03:03,19.75,9,01:00:43,15:52,03:11,18.91,9,3852,01:04:12,03:29,03:11,18.89
SWE,D35,4581,01:16:21,00:17:09,17:09,03:26,17.48,9,00:34:11,17:01,03:25,17.62,8,00:53:16,19:05,03:50,15.71,9,01:12:02,18:46,03:46,15.98,9,4581,01:16:21,04:18,03:56,15.29
SWE,H35,3890,01:04:50,00:14:42,14:42,02:57,20.40,9,00:29:40,14:58,03:00,20.04,11,00:45:09,15:28,03:06,19.39,11,01:01:16,16:07,03:14,18.61,10,3890,01:04:50,03:34,03:16,18.41
SWE,D17,4587,01:16:27,00:17:59,17:59,03:36,16.67,13,00:35:34,17:35,03:32,17.06,11,00:53:38,18:03,03:37,16.62,10,01:12:22,18:44,03:45,16.01,10,4587,01:16:27,04:04,03:44,16.14
SWE,D17,4591,01:16:31,00:18:13,18:13,03:39,16.47,15,00:35:55,17:42,03:33,16.94,14,00:54:01,18:05,03:38,16.58,12,01:12:31,18:30,03:43,16.21,11,4591,01:16:31,03:59,03:39,16.47
JPN,H17,3891,01:04:51,00:14:50,14:50,02:59,20.21,10,00:29:39,14:49,02:58,20.25,9,00:45:00,15:20,03:05,19.55,10,01:01:18,16:18,03:16,18.39,11,3891,01:04:51,03:32,03:15,18.55
ETH,H17,3894,01:04:54,00:14:54,14:54,02:59,20.12,12,00:30:01,15:07,03:02,19.84,14,00:45:32,15:31,03:07,19.33,12,01:01:34,16:01,03:13,18.72,12,3894,01:04:54,03:19,03:03,19.76
GBR,D35,4596,01:16:36,00:17:51,17:51,03:35,16.81,12,00:35:35,17:44,03:33,16.92,12,00:54:00,18:25,03:42,16.29,11,01:12:36,18:36,03:44,16.13,12,4596,01:16:36,04:00,03:39,16.44
SWE,H17,3901,01:05:01,00:15:06,15:06,03:02,19.86,16,00:30:01,14:54,02:59,20.11,12,00:45:34,15:33,03:07,19.29,13,01:01:35,16:01,03:13,18.72,13,3901,01:05:01,03:25,03:08,19.23
